,city,lat,lon,temp max,Humidity,Wind Speed,Cloudiness
0,lebu,8.96,38.73,55.4,93,4.7,75
1,hobart,-42.88,147.33,59.0,62,13.87,40
2,aklavik,68.22,-135.01,55.4,66,6.93,75
3,tilichiki,60.47,166.1,57.03,47,1.88,53
4,saint-philippe,45.36,-73.48,64.4,82,4.7,75
5,ilulissat,69.22,-51.1,50.0,46,21.92,73
6,saskylakh,71.97,114.09,41.46,87,8.99,100
7,rikitea,-23.12,-134.97,72.34,86,12.06,100
8,tapes,-30.67,-51.4,46.44,72,7.85,1
9,zeya,53.74,127.27,55.23,95,3.74,100
10,havelock,34.88,-76.9,80.6,78,3.36,1
11,jalu,29.03,21.55,77.8,34,5.55,0
12,busselton,-33.64,115.35,59.0,46,22.01,92
13,butaritari,3.07,172.79,85.02,67,5.01,48
14,colesberg,-30.72,25.1,40.0,32,2.33,0
15,mendoza,-32.89,-68.84,44.6,45,3.36,0
16,sao jose da coroa grande,-8.9,-35.15,68.24,95,2.8,19
17,sorong,-0.86,131.25,82.71,73,8.97,99
18,saint george,39.45,22.34,62.6,72,3.36,20
19,vardo,39.62,-77.74,73.99,83,4.7,1
20,port elizabeth,39.31,-74.98,73.99,88,5.82,1
21,qaanaaq,77.48,-69.36,27.47,58,3.76,3
22,mataura,-46.19,168.86,53.01,83,4.0,100
23,lompoc,34.64,-120.46,81.0,87,5.82,75
24,henties bay,-22.12,14.28,53.01,94,1.99,0
25,beringovskiy,63.05,179.32,42.21,87,6.96,100
26,bluff,-23.58,149.07,85.66,13,4.25,84
27,te anau,-45.41,167.72,46.51,78,0.89,100
28,goderich,43.74,-81.71,73.0,87,22.86,56
29,provideniya,64.42,-173.23,55.4,87,11.18,75
30,bulgan,48.81,103.53,60.03,78,4.99,67
31,bathsheba,13.22,-59.52,82.4,74,19.46,40
32,petropavlovsk-kamchatskiy,53.05,158.65,62.6,77,6.71,40
33,san vicente,-0.59,-80.41,69.8,83,10.29,40
34,sokoto,13.06,5.24,80.39,70,9.64,54
35,punta arenas,-53.16,-70.91,35.01,69,10.29,0
36,kapaa,22.08,-159.32,87.8,55,9.17,40
37,ushuaia,-54.81,-68.31,35.6,69,23.04,40
38,port lincoln,-34.72,135.86,57.76,81,11.79,79
39,longyearbyen,78.22,15.63,32.0,78,14.99,75
40,marsh harbour,26.54,-77.06,83.63,80,35.66,100
41,vila do maio,15.13,-23.22,80.6,88,13.87,40
42,hamilton,43.26,-79.87,75.0,88,9.17,75
43,taolanaro,63.2,75.45,48.64,95,7.54,75
44,palabuhanratu,-38.31,-60.23,36.07,76,11.41,3
45,noyabrsk,-9.43,159.96,77.0,100,4.7,90
46,barrow,-0.92,100.36,81.47,83,14.63,100
47,honiara,42.65,-73.75,70.0,100,3.36,40
48,padang,70.62,147.9,54.45,49,6.89,38
49,albany,50.54,22.72,50.0,100,3.36,75
50,chokurdakh,61.99,5.14,51.8,71,12.75,33
51,bilgoraj,53.47,85.91,56.86,49,2.73,80
52,raudeberg,18.74,7.39,95.06,21,8.01,0
53,togul,70.86,29.09,49.68,74,18.97,50
54,arlit,30.75,20.22,78.93,79,7.65,0
55,berlevag,-33.59,26.89,59.0,82,5.99,98
56,ajdabiya,35.73,140.83,75.2,88,9.17,75
57,port alfred,-28.95,153.24,86.0,16,14.99,0
58,hasaki,45.76,106.27,75.6,27,15.79,87
59,codrington,-42.48,-73.76,42.8,72,12.75,0
60,mandalgovi,-21.21,-159.78,73.4,64,14.99,37
61,castro,30.78,78.62,49.61,73,4.12,25
62,avarua,36.62,-121.92,80.6,36,9.17,1
63,lata,24.63,46.72,86.0,25,2.24,0
64,pacific grove,6.12,81.12,78.8,100,4.7,40
65,riyadh,34.16,77.58,49.18,44,2.55,0
66,hambantota,48.65,-53.11,59.0,77,4.0,100
67,leh,67.47,78.7,43.72,97,3.18,100
68,bonavista,60.14,-45.24,47.38,92,9.44,100
69,tazovskiy,9.97,124.05,84.2,79,5.82,40
70,nanortalik,45.41,141.67,71.6,68,14.99,20
71,sataua,69.65,18.96,51.8,66,33.33,75
72,nahawan,69.49,88.39,44.6,100,6.71,75
73,wakkanai,63.37,47.92,48.19,87,4.83,0
74,tromso,55.74,-97.86,46.4,93,6.93,90
75,talnakh,19.71,-155.08,87.8,55,9.17,40
76,blagoyevo,-2.57,150.8,83.09,77,9.82,63
